Article_num,EAN,Map,Plant,Stor_loc,Material_description,Segment,Family,Class
493656160,8904132945586,5.25,U2RZ,1000,ENZO ULTRA WHITE BRIGHT DET BAR 145g PP,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
491187252,8902901224610,85.22,U2RZ,1000,GOOD LIFE CHANA DAL 1 kg PP,STAPLES,PULSES,PULSES
490863089,8901248101448,3.68,U2RZ,1000,BOROPLUS HS AYRVD ANTSPTC CRM FHB 5ml PP,HEALTH,OTC,SKIN/SCALP TREATMENT PRODUCTS
493634735,8902579002282,0,U2RZ,2997,FROOTI TETRA 125ML PACKOF10,BEVERAGES,JUICES,FRUIT JUICES & DRINKS
490011053,8904043701851,28.07,U2RZ,1000,SHREE LAVANG 20 g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
490007361,690225103138,542.54,U2RZ,1000,INDIA GATE BASMATI DUBAR RICE 5KG BAG,STAPLES,RICE,RICE
490794207,8906009077291,23.63,U2RZ,1000,UNIBIC SGR FREE OATMEAL COOKIES 75 G CBD,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
490868333,8901248104814,162.62,U2RZ,1000,NAVRATNA COOL AYURVDC HAIR OIL 270ml CBD,PERSONAL CARE,HAIR PRODUCTS,HAIR CARE
490069971,8901192105110,58.81,U2RZ,1000,CATCH AMCHUR POWDER 100 g CBD,STAPLES,SPICES & CONDIMENTS,POWDER SPICES
492649845,8904132931862,32.56,U2RZ,1000,QUICKWORK A4 MULTICLR STRIP FILE PO4,STATIONERY,OFFICE CONSUMABLES & STATIONERY,FILES & ACCESSORIES
491631743,8908023043368,55.77,U2RZ,1000,PRESTINE DISHWASH BAR 1 kg TUB,HOME CARE,H'HOLD CLNG/CARENG/CARE,H'HOLD CLNG
492862453,8906078720241,34.75,U2RZ,1000,GOPAL BHAVNAGARI GANTHIYA 250G PP,CONFECTIONARY & SNACKS,SNACKS,SNACKS
491587313,8904132913448,46.47,U2RZ,1000,SAFE LIFE AQUEOUSFRH HAND WASH 750 ml PP,PERSONAL CARE,SKIN PRODUCTS,BODY WASHING
491299563,8901393025682,62.5,U2RZ,1000,MENTOS PR FRSH SPRMIT SGRFREGUM54.6G PET,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
